Shop Name,District,Type,Cuisine,Address,Price/person
Sủi cảo Ngọc Ý,District 11,Main meal,Chinese,Quán Sủi Cảo Ngọc Ý,60.000đ-100.000đ
Bún bò mỡ nổi cô Như,District 3,Main meal,Vietnamese,Bún Bò Huế Mỡ Nổi Cô Như,< 60.000đ
Acoustic Bar - Nam Kỳ Khởi Nghĩa,District 3,Cafe,N/A,Acoustic Bar - Nam Kỳ Khởi Nghĩa,60.000đ-100.000đ
Nhã Nam Coffee,Binh Thanh,Cafe,N/A,Nha Nam Books N' Coffee,60.000đ-100.000đ
Bánh mì Huynh Hoa,District 1,Main meal,Vietnamese,Bánh Mì Huynh Hoa,60.000đ-100.000đ
Cơm tấm Sà Bì Chưởng,District 5,Main meal,Vietnamese,Cơm Tấm Sà Bì Chưởng - Trần Bình Trọng,60.000đ-100.000đ
Cacao dừa dì Lan,District 10,Snacks,N/A,Cacao dừa Dì Lan,< 60.000đ
Oh Style,District 10,Main meal,Korean,Gà Rán Oh Style,60.000đ-100.000đ
Kokoria,District 10,Main meal,Korean,Kokoria,100.000đ-200.000đ
Coco-ichibanya,District 1,Main meal,Japanese,13 Lý Tự Trọng,100.000đ-200.000đ
Há cảo Phánh,District 5,Snacks,Chinese,Lô B Chung Cư,< 60.000đ
Bún đậu Tiến Hải,District 10,Main meal,Vietnamese,Bún đậu mắm tôm Tiến Hải,60.000đ-100.000đ
Cơm gà Tam Kỳ,District 10,Main meal,Vietnamese,65 Đường Đào Duy Từ,< 60.000đ
Phở 34 Cao Thắng,District 3,Main meal,Vietnamese,Phở 34 Cao Thắng,60.000đ-100.000đ
Truyền thuyết Champong,District 7,Main meal,Korean,Truyền Thuyết ChamPong Quận 7,100.000đ-200.000đ
Bơ by Butterman,District 1,Dessert/Sweets,N/A,Bơ by Butterman,60.000đ-100.000đ
Mockingbird Coffee,District 1,Cafe,N/A,Mockingbird Coffee,60.000đ-100.000đ
Ramen Ichibanya,District 1,Main meal,Japanese,8a Thái Văn Lung,100.000đ-200.000đ
Haru Coffee,District 1,Cafe,N/A,Haru Cafe,60.000đ-100.000đ
Hủ tiếu Thành Đạt,District 1,Main meal,Vietnamese,Hủ Tiếu Nam Vang Thành Đạt,60.000đ-100.000đ
Marukame Udon,District 1,Main meal,Japanese,Marukame Udon,100.000đ-200.000đ
